data,price
2016-07-07,281.00 
2016-07-08,281.00 
2016-07-11,281.00 
2016-07-12,281.00 
2016-07-13,281.00 
2016-07-14,281.00 
2016-07-15,281.00 
2016-07-18,287.95 
2016-07-19,287.75 
2016-07-20,287.60 
2016-07-21,283.60 
2016-07-22,283.60 
2016-07-25,282.65 
2016-07-26,284.40 
2016-07-27,283.75 
2016-07-28,287.00 
2016-07-29,281.15 
2016-08-01,286.00 
2016-08-02,286.00 
2016-08-03,286.00 
2016-08-04,286.00 
2016-08-05,286.00 
2016-08-08,281.20 
2016-08-09,282.00 
2016-08-10,295.20 
2016-08-11,290.00 
2016-08-12,297.50 
2016-08-15,297.50 
2016-08-16,286.90 
2016-08-17,287.85 
2016-08-18,287.05 
2016-08-19,287.05 
2016-08-22,287.05 
2016-08-23,286.80 
2016-08-24,286.95 
2016-08-25,285.65 
2016-08-26,285.55 
2016-08-29,285.15 
2016-08-30,284.65 
2016-08-31,283.80 
2016-09-01,283.80 
2016-09-02,283.80 
2016-09-05,283.80 
2016-09-06,283.80 
2016-09-07,292.00 
2016-09-08,293.30 
2016-09-09,293.30 
2016-09-12,293.30 
2016-09-13,293.30 
2016-09-14,293.30 
2016-09-19,293.30 
2016-09-20,284.15 
2016-09-21,285.15 
2016-09-22,286.00 
2016-09-23,287.85 
2016-09-26,287.95 
2016-09-27,288.60 
2016-09-28,289.40 
2016-09-29,291.95 
2016-09-30,286.65 
2016-10-10,288.85 
2016-10-11,278.00 
2016-10-12,278.00 
2016-10-13,268.00 
2016-10-14,266.05 
2016-10-17,266.05 
2016-10-18,275.30 
2016-10-19,275.30 
2016-10-20,277.20 
2016-10-21,280.05 
2016-10-24,278.00 
2016-10-25,277.15 
2016-10-26,275.30 
2016-10-27,272.90 
2016-10-28,274.20 
2016-10-31,279.00 
2016-11-01,275.80 
2016-11-02,275.80 
2016-11-03,275.80 
2016-11-04,275.80 
2016-11-07,275.80 
2016-11-08,275.80 
2016-11-09,279.85 
2016-11-10,279.85 
2016-11-11,279.85 
2016-11-14,279.85 
2016-11-15,279.85 
2016-11-16,274.05 
2016-11-17,273.25 
2016-11-18,270.35 
2016-11-21,272.50 
2016-11-22,273.25 
2016-11-23,273.45 
2016-11-24,270.65 
2016-11-25,268.55 
2016-11-28,271.10 
2016-11-29,269.80 
2016-11-30,268.20 
2016-12-01,266.30 
2016-12-02,265.60 
2016-12-05,265.70 
2016-12-06,265.15 
2016-12-07,264.95 
2016-12-08,266.80 
2016-12-09,266.45 
2016-12-12,262.75 
2016-12-13,263.65 
2016-12-14,264.50 
2016-12-15,264.50 
2016-12-16,262.65 
2016-12-19,263.20 
2016-12-20,263.30 
2016-12-21,261.80 
2016-12-22,258.80 
2016-12-23,260.10 
2016-12-26,260.40 
2016-12-27,260.60 
2016-12-28,262.35 
2016-12-29,263.10 
2016-12-30,264.05 
2017-01-03,263.30 
2017-01-04,262.55 
2017-01-05,264.00 
2017-01-06,264.00 
2017-01-09,262.00 
2017-01-10,267.00 
2017-01-11,267.55 
2017-01-12,267.55 
2017-01-13,269.00 
2017-01-16,269.00 
2017-01-17,271.95 
2017-01-18,270.05 
2017-01-19,267.40 
2017-01-20,268.50 
2017-01-23,270.50 
2017-01-24,268.70 
2017-01-25,266.25 
2017-01-26,265.20 
2017-02-03,262.90 
2017-02-06,262.90 
2017-02-07,273.00 
2017-02-08,269.85 
2017-02-09,269.85 
2017-02-10,269.85 
2017-02-13,269.85 
